binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,min max scaling,random label num 3,target,random label num 12,semi_constant_2,uniform corr 2,corr_feature_class,constant_1,semi_constant_1,pd qcut2,correlated w target 2,informative_2,outliers 1,duplicate_2,random choice 7,random choice 2,duplicate_1,pd qcut1,standard scaling,outliers 2,pd qcut3,constant_2,correlated w target 1,informative_1,uniform corr 1,multicollinearity 4,multicollinearity 2,multicollinearity 3,multicollinearity 1,random choice 4,class
binary_2,Travis,Keller,1995-11-18,001-697-890-9615x50654,vlin@example.org,,Jonview,,48210,421.2102325028408,label num lo 2,1.071171825720549,,q_const_0,0.21179348964725858,1.6528934213806876,constant_value,q_const_0,,,0.4724066441252235,-0.14386189029656232,0.4724066441252235,,Rand Choice 2,0.5508509886724762,High,,,,constant_value,1.897117997278266,0.5508509886724762,0.6207734469981051,0.03462926283590556,-0.23619813561139655,0.19603168353507353,-0.024902783905366835,East,0
binary_2,Nicholas,,1986-10-03,3224643005,mitchellemily@example.com,,Port Rubenburgh,,,,label num lo 3,4.663571335859559,label num hi 6,q_const_0,0.9618454152809803,,constant_value,q_const_0,Q4,3.405180035183465,1.8961937668539977,-2.4546739417656305,1.8961937668539977,,Rand Choice 1,-1.287894198500732,High,46567.5706024998,,G6,constant_value,1.2653281872961508,-1.287894198500732,,-0.9652482773043316,0.21234867366290322,,,South,1
binary_2,Shawn,,1931-11-11,+1-910-759-4024,,76373 Willis Curve,Martinmouth,,98733,,label num lo 3,-0.05917940201608729,label num hi 9,q_const_0,0.20834590916246537,,constant_value,q_const_0,Q2,-0.06434127793412356,-0.41349414144382024,0.6734640576971308,-0.41349414144382024,,Rand Choice 1,-2.044462049230024,Low,50798.35100495243,,,constant_value,1.8434724977601644,-2.044462049230024,0.44378436989968295,-0.386601854941523,-0.3138276695126116,-0.4281871546193728,,,1
binary_1,Lauren,Sullivan,,266-440-7818,jennifer17@example.org,,Santiagoview,,88778,529.4758415153477,,-2.3855822060891563,label num hi 9,q_const_0,,3.717596910191068,constant_value,q_const_0,Q1,,-1.3398820467032777,0.17185105216920238,-1.3398820467032777,,Rand Choice 2,-0.8852896287436569,Low,43301.76650246236,,G3,constant_value,-2.7256526448160607,-0.8852896287436569,0.283046733303954,-1.0717380986194966,-1.2352596691254805,-0.505406841490667,-2.4251585675678475,,0
,Elizabeth,Lewis,1931-09-26,,joseph68@example.org,,New Victoriastad,,,,label num lo 3,2.0071546527859363,,q_const_0,,5.89409334251473,constant_value,q_const_0,,0.1706575822007732,0.9747731471654596,1.694299427037965,0.9747731471654596,Tuesday,Rand Choice 1,1.0241831340573713,High,59094.56303498294,,G5,constant_value,3.038364446004189,1.0241831340573713,,-0.6164320455433696,1.2109404575603884,-0.08627152240881791,-0.2990025346694018,South,1
,Patricia,,1959-02-24,,,750 Wells Manor,Christopherton,,,,label num lo 3,-1.7969144437130022,,q_const_0,,-4.8542486730305585,constant_value,q_const_0,Q2,,-0.5603828863589755,-0.956771867272712,-0.5603828863589755,Tuesday,Rand Choice 2,2.772118783740503,,44246.129788096296,,G3,constant_value,0.971320201461083,2.772118783740503,,-1.3787465400742245,-0.9472343247936931,-1.6359583250187952,-0.6855026741866643,South,0
,,Shepherd,2010-05-11,+1-619-381-3617,,274 Christina Streets Apt. 257,New Lauren,,,,label num lo 1,5.725060088355324,label num hi 6,q_const_0,,,constant_value,q_const_0,Q4,,2.9689279268649393,1.058402741785462,2.9689279268649393,Monday,,2.894620275821785,High,58789.57784328654,,G6,constant_value,5.65220956928672,2.894620275821785,0.9351186546004087,0.3939688858650075,,,-0.27074539137373377,,1
,Rebecca,,,,,46681 Lauren Views,Port Carlosland,,46591,,,-4.94606867736609,label num hi 5,q_const_0,0.015461422430749784,-0.9372000170205346,constant_value,q_const_0,,,-2.6249741737657706,-0.2797588603662505,-2.6249741737657706,Sunday,Rand Choice 1,-1.5337204517022132,Low,42022.94605470733,1.5788535692518635,G1,constant_value,-4.122617236964944,-1.5337204517022132,0.4870438051839936,0.8918848464697728,-1.1690283111046518,1.0906330524573364,-1.6385986244702428,East,0
binary_2,Randall,Fuller,1984-01-11,,,,,,,,label num lo 3,0.07126907475273458,,q_const_0,0.4485646982502627,,constant_value,q_const_0,Q3,2.843019587903031,-0.06760796056650875,0.32550388052663815,-0.06760796056650875,Sunday,Rand Choice 1,0.02098191690910778,High,46917.05782036025,2.5209547081585915,G4,constant_value,0.7476355006409037,0.02098191690910778,0.47003933600283976,-1.0483423279429145,,-1.5951549607560038,-0.09462154468209538,,1
binary_2,Brian,Wilson,2019-01-23,497.924.5353x6917,bishopmadison@example.org,,North Dylanmouth,,,269.5957925709951,label num lo 2,-2.9390317993076076,,q_const_0,0.07748381580133211,0.9636064598500471,constant_value,q_const_0,Q1,-3.2294390423562493,-1.2217076521647443,-1.317692624950797,-1.2217076521647443,,Rand Choice 2,1.8443231378056928,,38822.05534197921,,G2,constant_value,-1.6905878446917537,1.8443231378056928,,0.006831958453922322,,,,North,0
,Cynthia,,1980-09-21,917-242-1368x393,,18788 Turner Parkways Suite 869,North Valeriemouth,,,,label num lo 3,1.9721758144260035,label num hi 2,q_const_0,0.7558293781755298,5.35443776124024,constant_value,q_const_0,Q3,,0.961774366183153,0.36216691508853516,0.961774366183153,Saturday,Rand Choice 2,1.0483525417087796,High,59678.76557075247,,G5,constant_value,0.1315868627794844,1.0483525417087796,,-0.5578092870326149,,,0.910989306194272,,1
binary_1,Jessica,Jones,1999-05-04,(490)270-8506x051,,,West Kristineburgh,,49400,645.0536532015681,label num lo 3,-2.41206825144476,label num hi 10,q_const_0,0.9027176735208926,,constant_value,q_const_0,Q1,0.12416382073160848,-0.8989091039422038,-0.5711130885632,-0.8989091039422038,Sunday,Rand Choice 1,2.4004610305674445,Low,52960.65404608412,,G3,constant_value,-2.96192006934801,2.4004610305674445,,-0.9630569902554177,,-0.7788310438549884,0.6402564279224898,,0
binary_2,,Turner,1914-03-06,,joshua12@example.com,977 George Drives,East Susan,,,466.3904723282158,label num lo 1,-1.479837561849778,,q_const_0,,-2.0500858055319897,constant_value,q_const_0,Q2,,-0.9198365268034259,,-0.9198365268034259,,Rand Choice 2,-0.9062701513138482,,49086.996839859436,0.2080088155662465,G3,constant_value,-0.70725904282683,-0.9062701513138482,,,,,,,0
,Lucas,Bryant,,001-781-510-5367,,96027 Goodwin Fords Suite 127,Watsonbury,,,224.13765970485073,,-1.719440301667864,label num hi 3,q_const_0,0.015682486201038768,0.05958443622423437,constant_value,q_const_0,Q2,,-0.812080630970504,-1.9171558681036185,-0.812080630970504,Sunday,Rand Choice 1,0.6856439278887565,Low,41972.298521698154,,G3,constant_value,0.5589610490127939,0.6856439278887565,0.11994731457118918,-0.5378180779840825,,-0.7667632119823606,0.13724951152814843,,0
binary_1,Ruth,Hernandez,1992-11-21,001-368-536-6059x4777,,30050 King Villages Apt. 989,East Renee,,68877,429.12132622577656,label num lo 3,0.42281822091030674,,q_const_0,,,constant_value,q_const_0,Q3,,0.08777843129015706,0.5734741912640109,0.08777843129015706,,Rand Choice 1,-0.042585889530903476,High,,0.6579644693445137,G4,constant_value,3.533029962920384,-0.042585889530903476,,0.791363787544834,-0.60397489719016,0.9150981747276875,-1.5313100145847993,,1
,Benjamin,Small,1961-01-11,451.833.4224,,9455 Lisa Forge,New Maria,,,241.8657127398778,label num lo 2,7.08299431672875,label num hi 1,q_const_0,0.9730525366928987,3.045357710743831,constant_value,q_const_0,,4.249087510501132,2.995192146813761,-1.5201917378959395,2.995192146813761,,Rand Choice 2,-1.5108282778358584,High,61366.87953362682,,G6,constant_value,4.329867896880642,-1.5108282778358584,0.9562130656382618,0.7876902427312638,,,-0.0012488956347647315,,1
binary_2,James,Lawrence,1976-01-21,,heatheravila@example.com,388 Ronald Passage Suite 055,Thomasmouth,,29503,303.893433051172,label num lo 3,-0.13991053620578187,,q_const_0,0.7072266588482237,-6.542703813481742,constant_value,q_const_0,Q2,,-0.2932547227154315,-1.5294585342911073,-0.2932547227154315,Tuesday,Rand Choice 1,-0.899755982803224,Low,41301.2894759155,,G4,constant_value,2.317090741220274,-0.899755982803224,,-0.971429191730902,0.5726557605402443,-1.0421178358482983,,East,0
binary_1,Jasmine,Smith,1974-11-15,(919)418-5709,alyssa91@example.com,9104 Catherine Ford Suite 670,Savageland,TX,35010,,label num lo 1,-5.22805519092952,,q_const_0,0.21739213292856258,,constant_value,q_const_0,Q1,,-2.760416315820616,1.4842942384562832,-2.760416315820616,Thursday,Rand Choice 2,-1.561028039293678,Low,54349.74553845797,,G1,constant_value,-2.717051982244274,-1.561028039293678,0.22593519482082247,2.0425679299986643,-1.1665875500951701,,,East,0
binary_2,Xavier,Hawkins,,,,,Davidville,,53607,186.40871744521002,label num lo 1,1.3882707235367517,label num hi 9,q_const_0,,2.83776378348476,constant_value,q_const_0,Q3,-0.5769609828425102,0.656203460639147,2.350348629176855,0.656203460639147,Sunday,Rand Choice 2,0.8097918273664589,High,41641.49980857908,,G5,constant_value,-4.1831886019852655,0.8097918273664589,,0.1074091253805843,-0.15943843563045876,,-0.1973958696162485,,1
,Kenneth,,1958-07-15,9278143598,wesley49@example.com,,,,,213.90905129220386,label num lo 3,-3.015213443917936,label num hi 5,q_const_0,0.0766493642454335,,constant_value,q_const_0,Q1,-4.209159199213681,-1.2469570718594878,1.025250891596849,-1.2469570718594878,Monday,Rand Choice 1,1.9191488524234055,Low,45588.226745092405,,,constant_value,-1.5752808516885701,1.9191488524234055,,-0.6674927911737462,-1.1262869323504263,-0.2674054440084542,,West,0
binary_2,Scott,,1996-06-15,001-859-384-8777x27337,,08623 George Circle,Burkefurt,,,232.4497104965547,,-1.3815935095268763,label num hi 11,q_const_0,,1.3007541280793538,constant_value,q_const_0,Q2,-0.21327670896924478,-0.7309448849904976,1.2416435846022627,-0.7309448849904976,Friday,Rand Choice 2,0.13029209697270694,Low,45995.11872552794,,G3,constant_value,2.6440328228362366,0.13029209697270694,,-0.18444486702868093,,,,,0
binary_2,Austin,Maddox,1963-05-22,001-800-237-2401x8255,,49315 Sanchez Inlet Suite 649,Lake Tammy,,,,,1.3759183149321608,label num hi 7,q_const_0,,0.34733929894700766,constant_value,q_const_0,Q3,2.82590415956125,0.5587087380473019,-0.5854102044317226,0.5587087380473019,Friday,Rand Choice 1,0.14496917450032587,High,,3.773774164197267,G5,constant_value,3.1823505852686402,0.14496917450032587,,-2.5091858742052597,,-2.6014210296314166,-0.3396529201417544,East,1
binary_2,Andrew,Atkinson,,001-348-689-9787x9992,,81509 Mia Cliffs Apt. 121,Ellisfurt,,,,label num lo 3,0.5943279948739857,label num hi 1,q_const_0,,0.7322578174552969,constant_value,q_const_0,Q3,,0.11493125818958094,-0.6253513895093256,0.11493125818958094,Tuesday,Rand Choice 2,-0.42624557298219345,High,34244.583165232296,3.6251039701636074,G4,constant_value,-3.367439488475317,-0.42624557298219345,,-0.8070013101171842,,,,,1
,Eileen,Williams,2012-10-08,(710)544-1633x860,cynthia59@example.net,99044 David Brook Apt. 919,Hammondport,WY,,381.42982271983357,label num lo 2,-1.419138931286191,label num hi 4,q_const_0,,-2.2427442087989924,constant_value,q_const_0,Q2,,-0.4450183091822124,-2.8624060346071625,-0.4450183091822124,Wednesday,Rand Choice 1,2.329717580598092,Low,48654.61724337592,,G3,constant_value,-0.19965349274716043,2.329717580598092,0.3075326399447483,1.0275002856212956,-1.731140066544118,,-0.693684098995541,,0
,Natasha,Bryant,1959-04-19,327.245.3793,,0948 Schultz Springs,South Kyle,,,,label num lo 2,4.109205757904186,label num hi 3,q_const_0,0.9244258361990036,2.919664984827934,constant_value,q_const_0,Q4,3.482153959253694,1.512194632326083,0.3964390999270089,1.512194632326083,Monday,Rand Choice 1,-2.1948657473081274,High,46184.917836202534,5.129987833795527,G6,constant_value,1.4685567244414446,-2.1948657473081274,0.8065569172013811,-0.7076313325229852,0.22191895701559963,,1.0670955615694706,South,1
binary_2,,Jackson,,,,50119 Sarah Burgs Suite 641,Jeremyton,,18038,170.27435270585926,,5.267486574858544,label num hi 3,q_const_0,,,constant_value,q_const_0,Q4,5.34952343546935,2.123718114410471,1.5155906357713747,2.123718114410471,Saturday,Rand Choice 1,-1.6827267296424382,High,58861.01088336535,5.281701431702562,G6,constant_value,3.3980910499088104,-1.6827267296424382,0.9438499593481461,0.49197705049244855,,0.01852180941984991,,,1
,Dennis,Barnett,1926-04-14,001-597-602-5751x619,,,Matthewville,NV,,233.18695832976553,,-2.0652215127177107,label num hi 3,q_const_0,0.41916039711696834,,constant_value,q_const_0,Q2,,-1.0880569766875943,2.035495863866873,-1.0880569766875943,,Rand Choice 1,-0.1443286617608046,Low,43339.06909134411,,,constant_value,-0.4611159662955226,-0.1443286617608046,0.380391094449075,-0.8694872183378716,,,-2.2456708470808624,,0
binary_1,Amber,Velez,2024-10-02,,,,,,,,label num lo 1,1.178610826402548,label num hi 4,q_const_0,0.8216028079535377,,constant_value,q_const_0,,1.5727660357740825,0.5716866557157456,0.13575686782513569,0.5716866557157456,,Rand Choice 2,0.906801029755135,High,34137.280074935195,3.695306369342228,G5,constant_value,-0.9406213225370078,0.906801029755135,,-0.1554569178586736,-0.98456612244575,,0.11413129599954547,,1
binary_2,,Lewis,,,,3522 Gabrielle Islands,Danielside,,,501.7423740028444,label num lo 2,1.1618834765413888,,q_const_0,0.8922741538635763,6.452596502613662,constant_value,q_const_0,Q3,,0.5445669500931893,1.5425602268467495,0.5445669500931893,Sunday,Rand Choice 1,0.7668533812999103,High,,,G5,constant_value,-0.5593399761914923,0.7668533812999103,,1.894487311512552,0.8220733248199784,1.6336281655194345,1.0379510493422734,,1
binary_1,Brenda,,,,,8920 Hunt Drive Suite 169,Jamesbury,,,511.570674706805,label num lo 1,-2.3214245477270685,,q_const_0,,-1.3222890779503436,constant_value,q_const_0,Q1,,-1.041849105036455,0.20662461804487187,-1.041849105036455,,Rand Choice 1,1.0576760656314912,,54463.43266441223,-0.5027164374780146,G3,constant_value,-1.182627974659057,1.0576760656314912,,-1.2439799999457728,0.6678002961346617,-1.3067006363466478,,,0
,Kimberly,,1967-03-14,001-688-544-0339x31236,,04658 Anna Circle Suite 698,South Garyshire,,10087,,label num lo 2,-2.5696236909455057,,q_const_0,,1.2255204921502698,constant_value,q_const_0,Q1,0.7338703928106318,-1.460128564790036,,-1.460128564790036,Monday,Rand Choice 2,-1.1339476976604566,Low,,4.192161184671996,G2,constant_value,-4.839788450281473,-1.1339476976604566,0.08676781014761153,1.7656484171617601,-0.3245923166026277,,,East,0
binary_1,Elizabeth,Johnson,,318.655.9698x580,thomasfoster@example.net,0273 Barrett Brooks Suite 225,Thomasfort,PW,27663,327.94741908712047,label num lo 1,-0.6928203514668747,,q_const_0,0.10265103259421537,0.858791006932518,constant_value,q_const_0,Q2,-2.1609916224333237,-0.5389624776428736,-0.7571638452141659,-0.5389624776428736,Friday,Rand Choice 2,-0.8093376111763627,Low,57778.14942572252,,G4,constant_value,-2.612510082342853,-0.8093376111763627,,0.6440907025179446,0.4574668503803831,0.4946159925586679,-0.2632114529410491,,0
binary_1,Angela,Peters,,,,9881 Williams Groves Apt. 010,West Rodneyfurt,VT,,362.8955241125173,,-3.0081229416101323,label num hi 11,q_const_0,0.09580791531424937,2.808689326257701,constant_value,q_const_0,Q1,-0.5572761131756674,-1.2472171113368977,-0.39307344597460797,-1.2472171113368977,,Rand Choice 1,1.8932669458344986,Low,59003.536442537894,,G2,constant_value,-1.2949954963359178,1.8932669458344986,0.041566507087778905,-2.0338748738143813,,-1.6881143570979196,0.5464236990466804,,0
binary_1,Amanda,,1929-09-04,,,969 Derrick Brooks,Darinview,,02494,399.6039485332969,label num lo 2,-1.0598055849269175,,q_const_0,0.26352420590518405,-0.12650584847396562,constant_value,q_const_0,Q2,-4.491180620036324,-0.5200528759294801,0.46477593589875843,-0.5200528759294801,Sunday,Rand Choice 1,0.5697455537949618,Low,53581.088779401376,,G4,constant_value,-4.3189403834616815,0.5697455537949618,,-0.5964243946517931,,,-0.7953453690418892,North,0
,Sheila,Webster,1944-02-15,423.265.7874x1645,meganwilson@example.com,95576 Paul River Suite 816,East Connorberg,,,,label num lo 3,3.1160040643585196,label num hi 11,q_const_0,0.890309877777306,0.03170867495610041,constant_value,q_const_0,Q4,,1.180678340493937,1.2612851741797666,1.180678340493937,,Rand Choice 2,-1.2362469774398837,High,62564.73622747042,4.534183982939511,G6,constant_value,-1.8498816682989982,-1.2362469774398837,,1.7915631482256527,-0.12117025796454133,,-0.41117980100608886,West,1
binary_1,,,,,,581 Marco Trace Apt. 401,Markburgh,,,,,-3.3689716389187483,label num hi 6,q_const_0,0.2711376671694289,-1.2199975883382637,constant_value,q_const_0,Q1,,-1.8636074668229266,-3.85291366434825,-1.8636074668229266,Thursday,Rand Choice 2,-1.3529848014549868,Low,59739.91693945249,,G1,constant_value,-0.3356120601268311,-1.3529848014549868,,-0.31873876399479856,,,,North,0
binary_2,Norman,Hughes,1924-04-27,374-384-6297x9759,jdavidson@example.net,472 Jamie Place Apt. 475,,SD,,,,-4.011917210243119,label num hi 6,q_const_0,0.08378853612448123,-1.668886919426161,constant_value,q_const_0,Q1,,-2.1494709706326964,,-2.1494709706326964,,Rand Choice 2,-1.248891718662567,,,,G1,constant_value,-1.2131294345040016,-1.248891718662567,0.022787641140594977,0.19743157657285146,-0.6957984021877981,-0.3634412311161157,0.22595574233832047,,0
,Joshua,,,(596)914-7473,,04477 Collins Tunnel,Gonzalesview,,,348.78235135615654,,0.8281143111577339,label num hi 5,q_const_0,0.6503953852585939,4.4062799098226595,constant_value,q_const_0,Q3,,0.3024527305882493,-0.2106167634439733,0.3024527305882493,Tuesday,Rand Choice 1,0.1416551023145658,High,62736.52917670469,1.371517565507538,G4,constant_value,-0.8688553695659869,0.1416551023145658,,0.514979687108658,,,0.20279051015041788,West,1
binary_1,Brittany,,1910-06-29,612-726-6453x36546,,75849 Kathy Junctions Apt. 007,New Shawnshire,SC,23173,427.5527714592182,,-1.6057144017133342,label num hi 1,q_const_0,0.4115215036459474,4.726450176796375,constant_value,q_const_0,,-0.7549448617005555,-0.787362050873328,0.07690092509544515,-0.787362050873328,Wednesday,Rand Choice 2,0.4799055578893142,Low,52071.907559536325,1.690080307349766,G3,constant_value,-2.5845693520510933,0.4799055578893142,,0.1064552448925103,,,-2.395272179721639,West,0
binary_2,Bruce,White,1974-04-29,,,,East Terriport,FL,,,label num lo 3,-8.943211902134985,,q_const_0,0.00639228687887326,1.7267285609558676,constant_value,q_const_0,Q1,,-4.543441462057407,-0.6303330649910759,-4.543441462057407,,Rand Choice 1,-1.9105295703059597,,47948.11999734672,,G1,constant_value,-7.829997648076116,-1.9105295703059597,0.12539727186877214,1.0090653733249977,-0.21119300222579096,,,North,0
binary_2,Brian,,1931-03-21,001-723-353-6371,igonzales@example.com,37517 Joseph Shore,South Annton,,08496,337.458457430774,,-1.9439237360293866,label num hi 10,q_const_0,0.48084104715006404,-4.147733523018697,constant_value,q_const_0,Q2,,-1.126952386009454,0.6638619247668861,-1.126952386009454,,Rand Choice 2,-0.8367587869003905,Low,55923.46379903752,,G3,constant_value,0.24719475331202012,-0.8367587869003905,0.7525530443539161,2.078795166930411,,1.5137830355933692,,,0
